Circadian circling (1),Circadian speed (1),Circadian nBouts (1),Circadian bout length (1),Circadian bout clumpiness (1),Circadian circling (2),Circadian speed (2),Circadian nBouts (2),Circadian bout length (2),Circadian bout clumpiness (2),Slow Phototaxis circling,Slow Phototaxis nTrials,Slow Phototaxis occupancy,Slow Phototaxis speed,Slow Phototaxis nBouts,Slow Phototaxis bout length,Slow Phototaxis bout clumpiness,Circadian circling (3),Circadian speed (3),Circadian nBouts (3),Circadian bout length (3),Circadian bout clumpiness (3),Arena circling,Arena speed,Arena nBouts,Arena bout length,Arena bout clumpiness,Circadian circling (4),Circadian speed (4),Circadian nBouts (4),Circadian bout length (4),Circadian bout clumpiness (4),Circadian circling (5),Circadian speed (5),Circadian nBouts (5),Circadian bout length (5),Circadian bout clumpiness (5),Optomotor circling,Optomotor optomotor index,Optomotor speed,Optomotor nTrials,Optomotor nBouts,Optomotor bout length,Optomotor bout clumpiness,Circadian circling (6),Circadian speed (6),Circadian nBouts (6),Circadian bout length (6),Circadian bout clumpiness (6),Y-Maze circling,Y-Maze right bias,Y-Maze nTrials,Y-Maze hand clumpiness,Y-Maze hand switchiness,Y-Maze speed,Y-Maze nBouts,Y-Maze bout length,Y-Maze bout clumpiness,Circadian circling (7),Circadian speed (7),Circadian nBouts (7),Circadian bout length (7),Circadian bout clumpiness (7),Olfaction occupancy,Olfaction preodor occupancy,Olfaction right bias,Olfaction hand clumpiness,Olfaction hand switchiness,Olfaction nTrials,Olfaction speed,Circadian circling (8),Circadian speed (8),Circadian nBouts (8),Circadian bout length (8),Circadian bout clumpiness (8),Circadian circling (9),Circadian speed (9),Circadian nBouts (9),Circadian bout length (9),Circadian bout clumpiness (9),LED Y-Maze circling,LED Y-Maze right bias,LED Y-Maze light bias,LED Y-Maze nTrials,LED Y-Maze hand clumpiness,LED Y-Maze hand switchiness,LED Y-Maze light switchiness,LED Y-Maze speed,LED Y-Maze nBouts,LED Y-Maze bout length,LED Y-Maze bout clumpiness,Circadian circling (10),Circadian speed (10),Circadian nBouts (10),Circadian bout length (10),Circadian bout clumpiness (10)
-0.0687,0.0925,2364.0000,19.4243,5.9114,-0.1668,0.0860,4249.0000,11.5648,4.9138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1118,0.1095,3618.0000,11.8090,4.1685,-0.4372,0.3229,1237.0000,18.4923,0.6648,-0.2056,0.1600,3440.0000,13.5250,4.4589,-0.1431,0.1264,3274.0000,10.6885,7.9610,0.1904,0.4926,0.0808,280.0000,4950.0000,13.9570,2.2923,-0.0476,0.1417,3421.0000,11.4446,6.1413,0.0450,0.5930,87.0000,1.6727,0.9525,0.1109,1283.0000,9.0943,1.2059,0.0090,0.1396,2995.0000,13.0414,4.5263,0.0341,0.5004,0.5313,1.2721,0.9203,288.0000,2.1325,-0.2343,0.0815,2417.0000,13.5585,7.4468,NaN,NaN,NaN,NaN,NaN,0.0265,0.4712,0.6978,416.0000,0.5730,1.0130,0.8132,0.3231,1126.0000,35.1821,0.3220,NaN,NaN,NaN,NaN,Na
0.0860,0.0928,5697.0000,10.7878,3.8320,0.3024,0.1013,7005.0000,10.8774,2.5398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0331,0.0934,4950.0000,10.3695,2.1937,-0.0700,0.3696,1337.0000,21.8684,0.8360,0.1181,0.0741,3966.0000,8.8058,2.9292,0.0922,0.0674,3504.0000,8.5793,4.4411,-0.0907,0.6060,0.0602,252.0000,2946.0000,15.5472,6.2497,0.1530,0.0642,3040.0000,9.1549,3.9183,0.0404,0.3765,86.0000,1.6289,1.1393,0.1426,1309.0000,13.8602,1.1287,0.0368,0.0266,1555.0000,6.6309,3.7141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1937,0.2779,0.5637,368.0000,2.0308,1.0155,0.9091,0.2594,1656.0000,20.4819,0.4006,NaN,NaN,NaN,NaN,Na
-0.6062,0.0600,2163.0000,12.9945,3.8818,-0.0933,0.0559,2753.0000,13.0392,3.3932,0.2498,14.0000,0.6202,0.1244,446.0000,20.9193,5.1688,-0.5663,0.1055,2145.0000,14.7501,3.7646,0.3974,0.2856,1465.0000,16.1147,1.2311,-0.6121,0.1256,2164.0000,14.3221,3.0262,-0.3950,0.1083,3157.0000,12.7881,4.2896,0.1498,0.6141,0.0397,60.0000,1912.0000,9.6454,6.5105,0.2269,0.0687,2144.0000,11.4025,4.0330,-0.0266,0.4429,71.0000,2.6077,1.2844,0.0917,967.0000,10.4105,2.5158,-0.0864,0.0669,1833.0000,9.3061,3.1674,0.0029,0.5025,0.5556,1.8109,1.4478,207.0000,1.2057,-0.0429,0.0907,1790.0000,12.8212,4.3050,NaN,NaN,NaN,NaN,NaN,0.0525,0.4745,0.5657,197.0000,1.6419,1.1197,0.9559,0.1569,1245.0000,17.0980,2.1690,NaN,NaN,NaN,NaN,Na
0.0030,0.0849,1743.0000,15.6162,3.0375,-0.0638,0.0657,2701.0000,12.9393,2.1813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0933,0.0647,1803.0000,11.7404,2.5997,-0.0418,0.4246,1327.0000,26.1454,0.4911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0267,0.5617,0.8070,398.0000,0.6512,1.0155,0.9334,0.2565,1027.0000,30.7751,0.7449,NaN,NaN,NaN,NaN,Na
0.0984,0.0987,2652.0000,18.9261,4.0186,-0.3423,0.0705,3109.0000,16.5513,3.1121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1975,0.0748,2692.0000,14.5323,3.1461,0.5028,0.5695,873.0000,49.2566,0.1727,-0.0861,0.1790,2273.0000,18.6956,2.6299,-0.3380,0.1388,2323.0000,19.7654,3.6007,0.0753,0.6383,0.0879,458.0000,4784.0000,18.6520,3.4967,-0.0405,0.1635,2234.0000,22.3142,3.3707,-0.0023,0.5284,177.0000,0.8711,1.0543,0.1909,1783.0000,16.6186,0.6291,0.0531,0.2010,2536.0000,18.8237,3.2784,0.0662,0.1562,0.4653,1.1926,0.7783,346.0000,1.6153,0.2867,0.1315,2009.0000,20.5754,3.4930,NaN,NaN,NaN,NaN,NaN,0.1958,0.3709,0.6486,275.0000,0.7380,1.0441,0.9140,0.2227,1577.0000,20.9740,0.5245,NaN,NaN,NaN,NaN,Na
0.3677,0.0971,3342.0000,15.9264,2.5297,0.2265,0.0694,3056.0000,15.7399,2.5712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3074,0.0812,2370.0000,16.2017,2.1855,-0.4513,0.2115,1093.0000,12.3156,2.2152,-0.0846,0.2007,2062.0000,19.1911,2.4741,0.3780,0.1430,3270.0000,17.4492,3.2082,-0.3282,0.3949,0.0393,126.0000,1808.0000,9.8374,6.3894,0.3032,0.1210,2513.0000,16.7628,2.7518,-0.0295,0.5806,32.0000,2.3019,1.0267,0.0804,714.0000,11.0588,2.7202,0.1497,0.1295,2877.0000,11.6197,2.6672,0.0000,0.1532,0.5667,1.0841,0.7589,330.0000,2.6036,0.1490,0.1002,3300.0000,13.9518,3.5763,NaN,NaN,NaN,NaN,NaN,-0.1117,0.4462,0.6735,195.0000,1.4307,0.9235,0.8468,0.1463,1123.0000,15.2707,2.5387,NaN,NaN,NaN,NaN,Na
0.3281,0.0574,1800.0000,14.5683,4.1681,-0.0783,0.0617,2998.0000,13.8719,3.7847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0400,0.0557,2344.0000,11.2530,3.1026,0.4265,0.2248,1736.0000,12.0743,0.9272,0.0809,0.1260,1878.0000,15.6858,3.7852,-0.0764,0.1275,2700.0000,17.0404,5.4642,-0.2204,0.2773,0.0377,67.0000,1890.0000,6.1720,4.8505,-0.2526,0.0679,1850.0000,13.5735,4.1353,0.0208,0.5526,39.0000,0.7503,0.9334,0.1045,1155.0000,12.3203,2.0830,0.5630,0.1341,2541.0000,13.3979,3.2564,0.0349,0.1480,0.5894,1.2052,1.2676,207.0000,1.8253,0.1112,0.1027,2433.0000,15.9531,4.4023,NaN,NaN,NaN,NaN,NaN,-0.0006,0.3485,0.5750,199.0000,1.6771,0.8853,0.7570,0.1494,1226.0000,16.1223,2.1400,NaN,NaN,NaN,NaN,Na
-0.4940,0.1026,2517.0000,17.3282,3.5537,-0.0083,0.0713,3137.0000,15.7246,2.9333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1292,0.0731,2495.0000,13.1331,3.6113,0.0363,0.3651,1681.0000,17.0803,1.3367,-0.4267,0.1462,2182.0000,15.4262,3.5673,-0.4561,0.1196,2078.0000,17.7599,4.6352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0863,0.0787,2372.0000,11.3301,4.1733,-0.2471,0.6400,26.0000,1.7138,0.6677,0.0820,1202.0000,7.7072,3.0605,-0.3850,0.1205,2968.0000,13.3521,2.9002,0.0000,0.1768,0.4783,1.6083,1.3830,368.0000,1.5381,-0.2654,0.1047,2816.0000,13.6925,3.9477,NaN,NaN,NaN,NaN,NaN,0.0685,0.5455,0.6445,210.0000,4.0094,0.9315,1.0136,0.1579,1086.0000,19.4567,6.7147,NaN,NaN,NaN,NaN,Na
-0.0051,0.1572,2778.0000,24.0839,3.6929,0.0543,0.0812,2611.0000,20.4021,3.2227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1775,0.1191,1685.0000,17.2843,2.9209,0.4912,0.3030,1380.0000,15.1667,0.9254,0.0740,0.1317,1798.0000,14.8387,3.1194,-0.1908,0.1688,2218.0000,19.8156,4.0980,-0.6121,0.4893,0.0577,137.0000,2736.0000,11.0939,6.4845,-0.0366,0.1532,1506.0000,22.5478,5.2910,0.1255,0.5667,31.0000,3.2557,0.9853,0.0681,917.0000,6.7317,2.4245,0.0448,0.1270,2190.0000,13.4904,3.5045,0.0621,0.3819,0.5765,0.9548,1.1359,366.0000,3.4091,0.0453,0.1622,2199.0000,17.3183,3.5415,NaN,NaN,NaN,NaN,NaN,0.0304,0.5467,0.5310,225.0000,3.1822,0.9505,0.9328,0.1644,862.0000,20.3875,5.1590,NaN,NaN,NaN,NaN,Na
-0.0749,0.0725,2458.0000,11.9174,3.3861,0.1669,0.0585,2541.0000,12.7820,3.5866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5285,0.0802,2883.0000,10.4218,2.3614,0.4470,0.1235,1213.0000,8.7865,4.2245,-0.3411,0.0820,2546.0000,9.5204,3.0710,-0.0902,0.1458,2514.0000,14.4073,2.9884,-0.2233,0.5120,0.0405,128.0000,2252.0000,11.7611,8.7266,-0.2874,0.1245,2459.0000,13.8158,2.8088,0.0236,0.3889,19.0000,1.0800,0.8859,0.0686,908.0000,6.2137,2.1263,-0.0365,0.1123,2527.0000,12.0008,3.0914,0.0000,0.0702,0.4945,0.9622,0.8908,366.0000,2.2971,-0.2010,0.0935,2252.0000,12.9867,3.8598,NaN,NaN,NaN,NaN,NaN,-0.2116,0.5842,0.5490,101.0000,1.6509,0.8559,0.9503,0.1218,1385.0000,11.8498,4.5455,NaN,NaN,NaN,NaN,Na
