Circadian circling (1),Circadian speed (1),Circadian nBouts (1),Circadian bout length (1),Circadian bout clumpiness (1),Circadian circling (2),Circadian speed (2),Circadian nBouts (2),Circadian bout length (2),Circadian bout clumpiness (2),Slow Phototaxis circling,Slow Phototaxis nTrials,Slow Phototaxis occupancy,Slow Phototaxis speed,Slow Phototaxis nBouts,Slow Phototaxis bout length,Slow Phototaxis bout clumpiness,Circadian circling (3),Circadian speed (3),Circadian nBouts (3),Circadian bout length (3),Circadian bout clumpiness (3),Arena circling,Arena speed,Arena nBouts,Arena bout length,Arena bout clumpiness,Circadian circling (4),Circadian speed (4),Circadian nBouts (4),Circadian bout length (4),Circadian bout clumpiness (4),Circadian circling (5),Circadian speed (5),Circadian nBouts (5),Circadian bout length (5),Circadian bout clumpiness (5),Optomotor circling,Optomotor optomotor index,Optomotor speed,Optomotor nTrials,Optomotor nBouts,Optomotor bout length,Optomotor bout clumpiness,Circadian circling (6),Circadian speed (6),Circadian nBouts (6),Circadian bout length (6),Circadian bout clumpiness (6),Y-Maze circling,Y-Maze right bias,Y-Maze nTrials,Y-Maze hand clumpiness,Y-Maze hand switchiness,Y-Maze speed,Y-Maze nBouts,Y-Maze bout length,Y-Maze bout clumpiness,Circadian circling (7),Circadian speed (7),Circadian nBouts (7),Circadian bout length (7),Circadian bout clumpiness (7),Olfaction occupancy,Olfaction preodor occupancy,Olfaction right bias,Olfaction hand clumpiness,Olfaction hand switchiness,Olfaction nTrials,Olfaction speed,Circadian circling (8),Circadian speed (8),Circadian nBouts (8),Circadian bout length (8),Circadian bout clumpiness (8),Circadian circling (9),Circadian speed (9),Circadian nBouts (9),Circadian bout length (9),Circadian bout clumpiness (9),LED Y-Maze circling,LED Y-Maze right bias,LED Y-Maze light bias,LED Y-Maze nTrials,LED Y-Maze hand clumpiness,LED Y-Maze hand switchiness,LED Y-Maze light switchiness,LED Y-Maze speed,LED Y-Maze nBouts,LED Y-Maze bout length,LED Y-Maze bout clumpiness,Circadian circling (10),Circadian speed (10),Circadian nBouts (10),Circadian bout length (10),Circadian bout clumpiness (10)
0.0732,0.0562,2595.0000,12.1287,4.6252,-0.1568,0.0409,2334.0000,11.2022,5.4897,0.0936,27.0000,0.5121,0.2918,1214.0000,24.6458,0.6547,0.3076,0.0321,1935.0000,9.3163,4.6722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0427,0.0336,1270.0000,13.0780,6.6543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0097,0.0779,1306.0000,18.0712,5.7062,0.2250,0.4502,232.0000,0.9393,0.9578,0.1708,1197.0000,19.4302,0.9995,-0.3225,0.0222,813.0000,13.7995,1.7246,0.5464,0.5867,0.6141,0.8212,1.2384,184.0000,6.1361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
0.2964,0.0630,1543.0000,13.7634,6.1301,0.1323,0.0805,1949.0000,16.2781,6.8997,0.0150,22.0000,0.5983,0.1719,923.0000,16.0737,5.9815,0.3476,0.0749,1539.0000,17.7206,6.0600,0.2821,0.2676,819.0000,22.2015,4.5556,0.0982,0.0424,1263.0000,13.4759,6.2030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
-0.3402,0.0250,1198.0000,10.2312,5.1488,-0.4721,0.0459,1426.0000,13.6578,5.5765,0.4769,27.0000,0.5679,0.3146,1228.0000,28.1384,0.6766,-0.2838,0.0464,1322.0000,11.7557,5.5260,0.2170,0.4636,1308.0000,29.0910,0.3435,-0.4946,0.0312,1041.0000,11.9731,5.1002,-0.5788,0.0225,736.0000,13.5340,4.0607,0.3286,0.6255,0.0416,223.0000,2688.0000,16.5521,8.4064,0.2517,0.0517,904.0000,16.1239,5.2210,0.1009,0.5163,493.0000,0.5774,1.1452,0.3249,990.0000,41.7323,0.2403,NaN,NaN,NaN,NaN,NaN,0.5605,0.3844,0.5304,0.9598,1.0997,115.0000,3.8506,-0.2585,0.0564,1185.0000,15.6152,5.5205,0.2131,0.0180,883.0000,12.6976,4.5099,0.0215,0.4302,0.8439,172.0000,4.6023,1.0199,1.0752,0.1399,1165.0000,14.3296,7.5726,NaN,NaN,NaN,NaN,Na
0.0292,0.0319,1326.0000,12.3250,6.2316,0.0060,0.0610,1496.0000,17.1023,7.0427,-0.0540,27.0000,0.5132,0.3322,1613.0000,17.4055,0.7904,0.0828,0.0746,1271.0000,14.6845,4.8514,-0.0174,0.2249,1090.0000,14.7156,1.3130,-0.3658,0.0346,967.0000,13.6008,5.2929,-0.1366,0.0369,1248.0000,14.0649,5.7435,0.0040,0.4839,0.0608,231.0000,4626.0000,10.9243,2.5402,-0.0961,0.0415,1030.0000,15.7981,4.9711,-0.0270,0.5059,426.0000,0.9116,1.0330,0.2776,1432.0000,22.3659,0.5405,-0.0605,0.0299,1875.0000,11.5637,3.7986,0.9572,1.0000,0.4983,8.7842,1.9412,578.0000,0.7768,-0.3388,0.0832,2982.0000,12.4782,4.0880,-0.4597,0.0282,2017.0000,11.2846,4.2268,0.1727,0.3559,0.8759,281.0000,1.4050,1.1256,0.8971,0.2238,1716.0000,19.1352,1.5220,NaN,NaN,NaN,NaN,Na
NaN,NaN,NaN,NaN,NaN,-0.3569,0.0747,1188.0000,24.1229,4.4178,-0.4087,17.0000,0.2853,0.0967,778.0000,12.4910,7.9010,-0.2144,0.0908,1348.0000,20.8583,3.8765,-0.0256,0.1847,1119.0000,13.4861,4.8821,-0.0711,0.0860,1147.0000,23.5798,4.9102,-0.6282,0.0410,999.0000,21.6026,4.4410,0.4729,0.5583,0.0446,227.0000,3097.0000,12.3975,13.5633,0.0509,0.0602,840.0000,22.9583,4.3137,-0.0206,0.8246,212.0000,1.8309,1.0438,0.1694,1415.0000,17.5569,2.7621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
-0.0006,0.0255,1264.0000,10.1171,4.6334,-0.2550,0.1316,1506.0000,23.7384,4.3554,0.1023,24.0000,0.3212,0.1770,1072.0000,18.3330,1.1502,-0.0131,0.0383,1302.0000,11.3395,4.4652,0.2818,0.2778,1176.0000,21.2041,1.2968,-0.3056,0.0626,1286.0000,14.8756,4.5522,0.0439,0.0232,1025.0000,11.3737,4.0799,-0.3511,0.4521,0.0640,252.0000,3591.0000,16.4522,5.4104,-0.2747,0.1093,1082.0000,22.9621,4.6347,-0.1028,0.6559,187.0000,1.3081,1.0899,0.1794,1268.0000,21.7192,1.1308,NaN,NaN,NaN,NaN,NaN,0.6489,0.6852,0.6053,0.8539,1.2006,190.0000,5.2786,0.1585,0.0205,1346.0000,8.1248,4.8699,NaN,NaN,NaN,NaN,NaN,-0.0986,0.6000,0.6944,71.0000,2.2895,1.0857,1.0800,0.0849,854.0000,11.7553,5.1239,NaN,NaN,NaN,NaN,Na
-0.0512,0.0739,2372.0000,20.7639,5.2683,-0.0488,0.0608,1170.0000,17.4786,3.7505,0.2776,27.0000,0.7033,0.4468,1100.0000,37.6691,0.2350,0.1264,0.0717,1306.0000,16.9441,3.8705,0.4274,0.4315,1194.0000,23.9288,1.0072,0.3464,0.0681,1310.0000,17.8427,4.8794,-0.0012,0.0320,1358.0000,13.3034,3.8469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3019,0.1118,1947.0000,16.6985,3.4349,-0.1178,0.6307,177.0000,0.8491,0.8853,0.1914,1542.0000,19.7335,0.7204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
-0.0573,0.0690,1933.0000,14.2137,4.7698,-0.2390,0.0917,2460.0000,15.3443,4.7323,0.4067,27.0000,0.7163,0.2986,1639.0000,20.1049,0.3988,-0.2266,0.0931,2319.0000,15.7348,4.3601,0.0277,0.3031,1817.0000,16.9697,0.5309,0.1765,0.0284,1130.0000,9.7558,4.6950,-0.0437,0.0284,1222.0000,12.6849,4.8928,0.0726,0.3153,0.0461,196.0000,3441.0000,9.2700,4.9153,-0.3718,0.0513,1509.0000,11.4135,4.6442,0.1899,0.7778,82.0000,0.8780,1.0936,0.1647,1424.0000,21.1390,0.6367,0.6581,0.0207,1815.0000,6.9983,4.1955,1.0000,1.0000,0.4444,1.5995,1.5250,81.0000,0.4452,-0.6523,0.0352,1141.0000,10.3199,4.1750,0.4169,0.0171,1952.0000,9.2992,4.2093,-0.0494,0.2564,0.6981,784.0000,1.1341,0.8764,0.9610,0.4837,1096.0000,35.9708,0.3597,NaN,NaN,NaN,NaN,Na
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2842,26.0000,0.3920,0.1680,802.0000,21.0050,3.0798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
NaN,NaN,NaN,NaN,NaN,-0.2806,0.0489,1172.0000,17.9053,3.8361,0.3206,27.0000,0.4542,0.2115,1505.0000,18.3508,1.3586,0.1287,0.0279,1280.0000,10.1242,3.4215,0.3134,0.3238,1470.0000,23.3061,0.4277,0.6803,0.0577,2010.0000,12.3985,2.4833,NaN,NaN,NaN,NaN,NaN,-0.1651,0.6138,0.0507,29.0000,7242.0000,7.4205,4.5273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
