Circadian circling (1),Circadian speed (1),Circadian nBouts (1),Circadian bout length (1),Circadian bout clumpiness (1),Circadian circling (2),Circadian speed (2),Circadian nBouts (2),Circadian bout length (2),Circadian bout clumpiness (2),Slow Phototaxis circling,Slow Phototaxis nTrials,Slow Phototaxis occupancy,Slow Phototaxis speed,Slow Phototaxis nBouts,Slow Phototaxis bout length,Slow Phototaxis bout clumpiness,Circadian circling (3),Circadian speed (3),Circadian nBouts (3),Circadian bout length (3),Circadian bout clumpiness (3),Arena circling,Arena speed,Arena nBouts,Arena bout length,Arena bout clumpiness,Circadian circling (4),Circadian speed (4),Circadian nBouts (4),Circadian bout length (4),Circadian bout clumpiness (4),Circadian circling (5),Circadian speed (5),Circadian nBouts (5),Circadian bout length (5),Circadian bout clumpiness (5),Optomotor circling,Optomotor optomotor index,Optomotor speed,Optomotor nTrials,Optomotor nBouts,Optomotor bout length,Optomotor bout clumpiness,Circadian circling (6),Circadian speed (6),Circadian nBouts (6),Circadian bout length (6),Circadian bout clumpiness (6),Y-Maze circling,Y-Maze right bias,Y-Maze nTrials,Y-Maze hand clumpiness,Y-Maze hand switchiness,Y-Maze speed,Y-Maze nBouts,Y-Maze bout length,Y-Maze bout clumpiness,Circadian circling (7),Circadian speed (7),Circadian nBouts (7),Circadian bout length (7),Circadian bout clumpiness (7),Olfaction occupancy,Olfaction preodor occupancy,Olfaction right bias,Olfaction hand clumpiness,Olfaction hand switchiness,Olfaction nTrials,Olfaction speed,Circadian circling (8),Circadian speed (8),Circadian nBouts (8),Circadian bout length (8),Circadian bout clumpiness (8),Circadian circling (9),Circadian speed (9),Circadian nBouts (9),Circadian bout length (9),Circadian bout clumpiness (9),LED Y-Maze circling,LED Y-Maze right bias,LED Y-Maze light bias,LED Y-Maze nTrials,LED Y-Maze hand clumpiness,LED Y-Maze hand switchiness,LED Y-Maze light switchiness,LED Y-Maze speed,LED Y-Maze nBouts,LED Y-Maze bout length,LED Y-Maze bout clumpiness,Circadian circling (10),Circadian speed (10),Circadian nBouts (10),Circadian bout length (10),Circadian bout clumpiness (10)
0.0718,0.1529,1658.0000,11.7811,7.7119,0.2069,0.1525,1320.0000,11.9379,5.1864,0.8849,8.0000,0.5071,0.0815,334.0000,9.2844,4.1757,0.3239,0.2346,1758.0000,13.7941,5.5573,-0.6109,0.0999,354.0000,12.2768,3.9083,-0.1463,0.1483,1225.0000,13.9420,4.4984,0.1051,0.2385,1271.0000,13.4768,6.6316,-0.5534,0.6366,0.0580,5.0000,1346.0000,8.2147,7.6989,-0.0748,0.2265,1210.0000,14.3289,4.1475,-0.2708,0.3571,15.0000,1.1162,1.0163,0.0635,650.0000,7.5169,3.8097,0.1859,0.1446,710.0000,10.5662,4.3529,0.1463,0.2480,0.5760,1.1374,1.2454,217.0000,3.5239,-0.0114,0.1420,1797.0000,13.7479,4.9742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
0.1426,0.1898,1647.0000,20.4177,5.5794,0.0681,0.1882,1945.0000,17.3069,5.7174,0.1451,11.0000,0.1992,0.1262,653.0000,9.2052,4.0857,0.1654,0.3935,2195.0000,19.5959,5.6930,-0.6069,0.1636,444.0000,13.2545,5.3173,0.3969,0.2064,2382.0000,14.9845,4.9285,-0.1363,0.5836,1908.0000,23.8297,4.4614,0.1512,0.5692,0.0725,9.0000,964.0000,10.4782,9.0368,-0.1839,0.4704,2108.0000,22.0626,4.6989,0.5499,0.6111,19.0000,0.8667,1.3288,0.0625,616.0000,9.4854,3.2296,0.1952,0.3764,952.0000,22.0714,3.9906,0.6690,0.5994,0.4311,0.9287,1.3976,283.0000,4.4339,-0.0951,0.2875,1652.0000,22.3711,5.1063,NaN,NaN,NaN,NaN,NaN,0.1928,0.3852,0.4597,123.0000,2.0139,0.8582,0.8442,0.1352,1063.0000,11.8278,4.2144,NaN,NaN,NaN,NaN,Na
0.2064,0.1704,1167.0000,19.0420,6.5194,-0.0755,0.1978,1395.0000,17.1577,6.2725,-0.1661,15.0000,-0.3809,0.4592,1086.0000,47.7007,1.2134,0.2379,0.7531,1333.0000,36.0030,6.6340,0.3418,0.2612,891.0000,28.2604,4.6786,0.5209,0.3769,1444.0000,25.0256,5.4204,0.8495,0.4400,1402.0000,25.6377,4.5976,0.4067,0.4175,0.0819,72.0000,2314.0000,11.8768,7.5278,0.5940,0.6878,1325.0000,32.2370,7.9573,0.1434,0.4038,105.0000,2.0011,0.9494,0.1049,425.0000,28.2259,3.0959,-0.1379,0.3900,945.0000,19.9915,4.9204,0.3617,0.2645,0.4341,0.7380,1.1202,129.0000,4.4563,0.3289,0.2517,1455.0000,18.6777,5.5135,NaN,NaN,NaN,NaN,NaN,0.1747,0.3242,0.5109,183.0000,2.9378,0.7982,1.0548,0.1669,713.0000,19.4628,3.2043,NaN,NaN,NaN,NaN,Na
0.5270,0.1326,2709.0000,12.6693,3.5056,0.3571,0.2146,2588.0000,16.9401,4.0104,0.3139,14.0000,-0.3439,0.3150,1039.0000,31.4283,2.6568,0.7277,0.3662,2766.0000,19.8239,3.8948,0.4134,0.3514,1210.0000,31.2678,1.6947,0.3620,0.2187,1462.0000,14.3776,6.0902,0.5842,0.4251,1949.0000,21.7394,4.2226,-0.2164,0.3321,0.0685,46.0000,2808.0000,11.0160,7.7811,0.1945,0.4216,2192.0000,20.3682,4.3001,-0.0651,0.5714,36.0000,1.1139,1.5313,0.0752,983.0000,12.4690,2.4593,0.1711,0.2659,794.0000,19.8451,3.5359,0.1023,0.1247,0.5983,0.9633,0.9720,229.0000,3.3449,0.3280,0.2281,2486.0000,15.9755,5.0448,NaN,NaN,NaN,NaN,NaN,-0.4151,0.5846,0.6119,66.0000,2.4211,1.0919,0.9428,0.1307,816.0000,11.7181,5.1206,NaN,NaN,NaN,NaN,Na
-0.2719,0.2549,1092.0000,21.7518,5.4382,-0.2677,0.2133,1589.0000,16.7867,5.0089,-0.1368,13.0000,-0.2646,0.2175,507.0000,17.6746,3.2634,-0.5510,0.2991,1742.0000,15.4598,6.8084,-0.4928,0.1086,909.0000,10.4323,2.7302,-0.3226,0.1682,1291.0000,13.6383,5.7436,-0.5067,0.2931,1304.0000,14.4126,5.5927,0.0118,0.1267,0.0780,79.0000,2595.0000,14.8382,8.3724,-0.7362,0.4009,1018.0000,16.8271,5.3258,0.1997,0.3846,14.0000,1.1223,1.3580,0.0544,349.0000,7.6304,4.0886,-0.5507,0.3450,597.0000,17.8057,4.6470,0.3559,0.3100,0.4483,0.5479,1.2083,174.0000,5.9862,-0.0637,0.2490,709.0000,17.4542,5.5804,NaN,NaN,NaN,NaN,NaN,0.2303,0.3288,0.5867,74.0000,2.8859,1.0410,0.7698,0.1528,636.0000,10.5723,4.7207,NaN,NaN,NaN,NaN,Na
0.1822,0.1092,1742.0000,11.7227,3.9331,-0.0508,0.1354,1796.0000,13.0668,3.8477,0.1582,12.0000,-0.0385,0.1225,1079.0000,10.7062,3.2026,0.3961,0.2238,1763.0000,12.1441,4.0565,-0.1857,0.1487,1383.0000,12.9197,2.9400,0.5451,0.1699,1467.0000,14.2679,4.1549,-0.0669,0.2258,1413.0000,12.6256,3.3186,-0.0203,0.0651,0.0652,113.0000,3857.0000,9.9855,5.5831,0.6058,0.3062,1558.0000,14.9621,3.7336,0.3707,0.4615,14.0000,0.6684,1.7245,0.0620,575.0000,9.4922,3.0909,-0.0224,0.1323,609.0000,11.9524,2.9456,0.4733,0.3991,0.4684,0.7126,1.0294,158.0000,5.2600,-0.1124,0.1387,1237.0000,11.5352,4.1923,NaN,NaN,NaN,NaN,NaN,-0.4943,0.6531,0.4118,50.0000,1.0395,0.9710,0.7690,0.0924,787.0000,9.7726,2.7791,NaN,NaN,NaN,NaN,Na
0.1627,0.1397,1563.0000,18.1292,4.3929,0.2172,0.1738,2094.0000,17.0669,5.6053,-0.0604,10.0000,0.1775,0.1190,624.0000,9.8141,3.2539,0.5621,0.3509,1815.0000,18.0534,5.3927,-0.3327,0.1429,1205.0000,14.5369,2.8309,0.5236,0.1715,1746.0000,14.0710,5.1342,0.7445,0.4442,1584.0000,19.7980,5.3708,-0.1367,0.4443,0.0514,3.0000,666.0000,5.5676,7.5141,0.7741,0.4057,1837.0000,18.1606,4.3884,0.1957,0.4096,84.0000,0.9647,0.8369,0.0826,847.0000,15.2361,2.6699,-0.1997,0.1827,981.0000,13.2181,5.1805,0.4111,0.2761,0.5750,0.8473,1.2916,160.0000,4.1704,0.0502,0.1629,1881.0000,13.4296,4.8108,NaN,NaN,NaN,NaN,NaN,0.4082,0.5814,0.5111,44.0000,1.5962,1.4008,0.9338,0.2251,281.0000,10.6263,3.7284,NaN,NaN,NaN,NaN,Na
0.0647,0.1094,1331.0000,10.5913,5.2653,-0.0722,0.1256,1204.0000,11.5465,3.7301,-0.2531,11.0000,-0.5401,0.0904,490.0000,8.2163,3.7753,-0.3456,0.2253,1354.0000,13.1773,4.1787,-0.0899,0.0778,479.0000,7.3069,3.6249,-0.1064,0.1738,1533.0000,13.8050,3.9351,-0.3575,0.2196,1199.0000,12.4946,4.1694,-0.2612,0.0118,0.0588,75.0000,2156.0000,7.6234,6.7451,-0.1076,0.2192,1632.0000,12.1679,4.2848,0.1729,0.5529,86.0000,1.3218,1.0349,0.0823,1182.0000,10.9146,4.0763,-0.3391,0.2049,905.0000,13.4519,4.6490,0.3606,0.2655,0.4537,0.8357,0.8779,108.0000,3.3086,-0.0742,0.1321,1329.0000,11.9714,3.7041,NaN,NaN,NaN,NaN,NaN,-0.4531,0.3559,0.6230,60.0000,1.6912,0.6543,1.0120,0.1143,1047.0000,8.8309,3.0515,NaN,NaN,NaN,NaN,Na
0.3316,0.1790,1466.0000,15.9502,6.2811,0.2408,0.1864,1629.0000,14.8662,4.8347,-0.3394,10.0000,0.0226,0.1082,731.0000,11.0369,3.2179,0.8489,0.3471,2010.0000,16.3607,6.1046,-0.2816,0.1598,926.0000,13.4903,4.6062,0.5113,0.2025,1497.0000,15.0554,5.6034,0.3391,0.2901,1855.0000,15.0895,4.3401,-0.0487,0.4324,0.0749,57.0000,1623.0000,11.8638,9.2360,0.7521,0.2797,1901.0000,15.1999,4.8037,-0.1971,0.5000,23.0000,1.2575,1.2174,0.0622,660.0000,9.8409,4.8741,0.3404,0.2360,751.0000,12.5246,7.5209,0.4839,0.4446,0.6587,0.7868,1.1121,126.0000,4.1119,0.4062,0.1789,1636.0000,14.0110,4.7893,NaN,NaN,NaN,NaN,NaN,0.1561,0.4000,0.5000,31.0000,2.4257,0.6720,0.9375,0.0926,788.0000,7.3401,3.0133,NaN,NaN,NaN,NaN,Na
-0.0379,0.1104,2242.0000,12.8760,2.8231,-0.0023,0.1724,2416.0000,13.7442,5.0088,0.0987,15.0000,-0.3554,0.1630,1794.0000,14.0725,1.7846,0.7499,0.2937,3675.0000,13.9246,6.2047,0.4651,0.2657,2166.0000,18.3827,0.9703,0.0331,0.1542,2369.0000,12.5378,4.4745,0.7326,0.2733,3110.0000,13.5447,6.0854,0.2315,0.1560,0.0516,86.0000,2782.0000,6.9709,4.0918,0.2190,0.2687,2790.0000,12.6556,4.7493,0.2107,0.3421,39.0000,0.6164,1.0253,0.0601,1005.0000,9.0448,1.8635,0.6479,0.2639,1186.0000,12.1737,9.7480,0.3976,0.3007,0.4826,0.7801,1.2798,230.0000,5.0342,0.1312,0.1601,3203.0000,10.9298,6.3145,NaN,NaN,NaN,NaN,NaN,-0.5057,0.1500,0.3537,81.0000,0.8543,0.7262,0.8536,0.1043,1200.0000,8.7567,2.3654,NaN,NaN,NaN,NaN,Na
