Metric,Assay,Description,Scale,Calculation
Y-Maze right bias,Y-Maze,Fraction of turns toward the right arm of the arena,"0 to 1 (Left = 0, Right = 1)",num_right_turns / num_total_turns
Y-Maze nTrials,Y-Maze,Total number of turns through the arena center,0 to inf,sum[ turns ]
Y-Maze hand clumpiness,Y-Maze,Score of the regularity or irregularity of timing between turns through the arena center,0 to inf,stddev[ interturn_interval ] / mean[ interturn_interval]
Y-Maze hand switchiness,Y-Maze,Score of the regularity or irregularity of alternating between left and right turns,0 to inf,num_switches / [ 2 * fraction_right * fraction_left * num_turns ]
Y-Maze speed,Y-Maze,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Y-Maze nBouts,Y-Maze,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Y-Maze bout length,Y-Maze,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Y-Maze bout clumpiness,Y-Maze,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Circadian circling (7),Circadian,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Circadian speed (7),Circadian,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian nBouts (7),Circadian,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Circadian bout length (7),Circadian,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Circadian bout clumpiness (7),Circadian,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Olfaction occupancy,Olfaction,Fraction of time spent in odor,0 to 1,time_in_odor / experiment_duration
Olfaction preodor occupancy,Olfaction,Fraction of time spent on odor size before odor presentation (i.e. baseline occupancy),0 to 1,time_on_odor_size / experiment_duration
Olfaction right bias,Olfaction,Fraction of tunnel turn around events made to the right,0 to 1,num_right_turns / num_total_turns
Olfaction hand clumpiness,Olfaction,Score of the regularity or irregularity of timing between turns through the arena center,0 to inf,stddev[ interturn_interval ] / mean[ interturn_interval]
Olfaction hand switchiness,Olfaction,Score of the regularity or irregularity of alternating between left and right turns,0 to inf,num_switches / [ 2 * fraction_right * fraction_left * num_turns ]
Olfaction nTrials,Olfaction,Number of crossings from the clean air side to the odor side,0 to inf,sum[ crossings ]
Olfaction speed,Olfaction,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian circling (8),Circadian,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Circadian speed (8),Circadian,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian nBouts (8),Circadian,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Circadian bout length (8),Circadian,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Circadian bout clumpiness (8),Circadian,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Circadian circling (9),Circadian,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Circadian speed (9),Circadian,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian nBouts (9),Circadian,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Circadian bout length (9),Circadian,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Circadian bout clumpiness (9),Circadian,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
LED Y-Maze circling,LED Y-Maze,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
LED Y-Maze right bias,LED Y-Maze,Fraction of turns toward the right arm of the arena,"0 to 1 (Left = 0, Right = 1)",num_right_turns / num_total_turns
LED Y-Maze light bias,LED Y-Maze,Fraction of turns toward the lit arm of the arena,"0 to 1 (Dark = 0, Light = 1)",num_light_turns / num_total_turns
LED Y-Maze nTrials,LED Y-Maze,Total number of turns through the arena center,0 to inf,sum[ turns ]
LED Y-Maze hand clumpiness,LED Y-Maze,Score of the regularity or irregularity of timing between turns through the arena center,0 to inf,stddev[ interturn_interval ] / mean[ interturn_interval]
LED Y-Maze hand switchiness,LED Y-Maze,Score of the regularity or irregularity of alternating between left and right turns,0 to inf,num_switches / [ 2 * fraction_right * fraction_left * num_turns ]
